ChapterName,TestNumber,QuestionNumber,QuestionDescription,Option1,Option2,Option3,Option4,Image?
Dynamics,Assessment Test II,11,A body of mass 1 kg is accelerated from rest to 2 ms-1 in 1 s. work done on it in 5 s is __________ joule.,50,8,0.4,10,
Dynamics,Assessment Test II,12,"A certain quantity of mercury is present in a cylindrical vessel of cross section area 'A' upto a height , h. The mercury is then transferred to another cylindrical vessel of cross sectional are 2A. What is the shift in the centre of gravity of mercury with respect to the base of the cylindrical vessels?",h,h/2,2/3 h,h/4,
Dynamics,Assessment Test II,13,"A spring balance is used to weight an object of mass M kg hanged from the centre of a level as shown in figure. What is the mass of the object (in kg), if the reading shown by the spring is 60 kg wt and the level is in equilibrium? (g=10 m s-2)",100,200,150,175,X
Dynamics,Assessment Test II,14,"If the efficiency of a pulley system having four pulleys is 80%, then calculate its mechanical advantage.",2..0,4..0,1.6,3.2,
Dynamics,Assessment Test II,15,A rectangular cuboid whose face ABCD shown with measurements in the figure is cut into two halves diagonally (along AC or BD) and the lower-half portion is used as an inclined plane. What is the mechanical advantage of the inclined plane formed?,3 3/5,2 2/5,2 3/5,5 2/3,
Dynamics,Assessment Test III,1,Friciton in parts of a machine can be reduced by using _______,iron filings,lubricants,ball bearings,both (b) and (c ),
Dynamics,Assessment Test III,2,"When a fast moving bus is stopped suddenly, the passengers sitting in it tend to fall forwards. This is due to _______.",inertia of rest,inertia of motion ,inertia of direction ,inertia of speed,
Dynamics,Assessment Test III,3,What is the work done to lift a body of mass 5 kg to a height of 50 m from the ground (in j)? (g=10 m s-2),250,2.5 X 1010,2.5 X 1010 ,2.5 X 10-4,
Dynamics,Assessment Test III,4,A machine is operated by an effort of 25 N and the effort has a downward displacement of 2.5 m in raising a load of weight 100 N through 10 cm. What is the efficiency of machine (in %)?,250,40,25,16,
Dynamics,Assessment Test III,5,Forceps is an example of ___________ order lever.,1,2,3,1 or 2,
Dynamics,Assessment Test III,6,1 N of force is equal to _________ dyne.,10 4,10.-7,10.-5,105,
Dynamics,Assessment Test III,7,A constant force for 100 N acts on a body for 8 s for changing its momentum. What is the change of momentum of the body (in N) ?,400,800,200,100,
Dynamics,Assessment Test III,8,The power delivered by a machine if it lifts an object of mass 1000 kg to 4m height in 1 minute is _____ kW,0.7,466,666.6,66.66,
Dynamics,Assessment Test III,9,"Match the statements of Column A with those of Column B.
(P) Newton's first law            (p) F = ma
(Q) Newton's second law      (q) Recoil of a gun
(R ) Newton's third law          (r ) Law of inertia","P →q;    Q→r,     R→p","p →P;    Q→r,     R→q","p →r;    Q→P,     R→q","P →q;    Q→p,     R→r",
Dynamics,Assessment Test III,10,"A car of mass 1500 kg moving at a speed of 90 km h-1 collides with another car at rest. After collision, both have a common velocity of 50 km h-1. The mass of the car which is initially at rest is ________ kg.",1100,1200,1300,1400,
Dynamics,Assessment Test III,11,The physics teacher gave a rod of length 'l' units to Ram and the teacher asked Ram to find the shift in the C.G. when 1/5 of the total length of the rod is removed. The anwer of Ram will be _______ units,0.4 l ,0.2 l,0.8 l,0.1 l ,
Dynamics,Assessment Test III,12,"A crow bar of length 1.14m is used to move a block of mass 100 kg wt. If the effort arm is 100cm when it is used as I-order lever, then the minimum effort required to move the block is ________ milli dyne. (Take = 10 ms-2)",1.4 x 1010,1.4 x 108,140,1.4 x 105,
Dynamics,Assessment Test III,13,"A system of pulleys is used to lift a load of 500 kg wt. If the velocity ratio and M.A. are 0.9 and 5, then the efficiency and effort required to lift the load are ______ and _______, respectively.","5.6, 105 N","5.6, 108 dyne","2.6, 107N","2.6, 107 dyne",
Dynamics,Assessment Test III,14,"A car moving at 54 km h-1 is to be stopped by applying brakes in the next 5m. If the can weights 1800 kg wt, then the next external force acting on it is ______.",4 x 109  N,40 N,4 x 104  dyne,4 x 104  N,
Dynamics,Assessment Test III,15,"Write the steps in sequential order to determine the difference in the height of C.G. of  a solid right circular cone of height 40cm resting on its base and a solid cylinder of length 1 m and diameter 30 cm resting on its lateral surface.
(A) Find the difference between the height of C.G. from the base.
(B) Determine the height of the C.G. from the base.
(C) Note down the height of the solid cone and the diameter of the sphere.",ABC,BCA,ACB,CBA,
Dynamics,Assessment Test IV,1,Frictional force in a machine can be reduced by _________.,using iron filings,lubricants,converting sliding motion into rolling motin ,both (b) and (c ),
Dynamics,Assessment Test IV,2,Inertia is measured by _______ of the body.,momentum,mass ,volumne,density,
Dynamics,Assessment Test IV,3,"If the work done to move a body a mass 6 kg to a height h is 4.8 x 109 erg, then h = ________ m. (take g = m s-2)",8,8 x 102,8 x 103,8 x 107,
Dynamics,Assessment Test IV,4,"A machine is operated with an effort of 50 N in raising a load of weigth (W). What is the load, if the mechanical advantage is 2 ?",500 dyne,5 N,100 N,5 dyne,
Dynamics,Assessment Test IV,5,The human hand is a III - order lever because _______ lies between fulcrum and ______.,"effort, elbow","effort, load","load, effort","elbow, effort",
Dynamics,Assessment Test IV,6,The unit of impulse is same as the unit of _______.,weight,force,momentum,work,
Dynamics,Assessment Test IV,7,"If the change in momentum of a body is 400 N s, then constant force applied on the body for 10 s is _____ kilo dyne.",40,40 x 102,40 x 103,4 x 102 ,
Dynamics,Assessment Test IV,8,"If the power delivered by a machine if it lifts an object of mass 2000 kg to 6 m height is 2000 W. Then, time taken by the machine is ______ min. (g = 10 ms-2)",1,2,3,4,
Dynamics,Assessment Test IV,9,"Match the entries of Column A with those of Column B.
(P) Balanced force          (p) An apple falling down
(Q) Unbalanced force      (q) Friction
(R ) Contact force           (r ) A book resting on the table","P →q;    Q→p,     R→r","P →p;    Q→q,     R→r","p →r;    Q→q,     R→p","P →r;    Q→p,     R→q",
Dynamics,Assessment Test IV,10,A car of mass 1200 kg moving at a speed of 72 km h-1 collides with another car  of mass 1500 kg which is at rest. What is the common velocity of the two cars. If they move togeter after the collision (m s-1)?,32.04,3.204,8.9,89,
Dynamics,Assessment Test IV,11,The shift in the C.G. of rod is 5 cm when 1/4 of the rod is removed. The original length of the rod is _______ m.,0.75,0.125,0.4,40,
Dynamics,Assessment Test IV,12,"A system of pulleys is used to lift a load of 1000 kg wt. If the velocity ratio and efficiency are 20 and 90%, respectively, then the effort required to lift the load is______ N.",5.6 x 107,5.6 x 10-3,5.6 x 103,560,
Dynamics,Assessment Test IV,13,"A crow bar of length 120 cm is used to move a block of weight 1000 N. If the load arm is 30 cm when it is used as a II-order lever with maximum mechanical advantage, then the minimum effort required is _________N.",2.5 x 107,4,250,2.5 x 10-3,
Dynamics,Assessment Test IV,14,"A car moving at 40 km h-1 is to be stopped by applying brakes in the next 4.0 m. If the average resultant force on it is 3.1 x 104 N, then mass of the car is ______kg.",2009,2500,1500,1600,
Dynamics,Assessment Test IV,15,"A brick of dimentions 12 cm x 6 cm x 3 cm is resting on its larger area and a cylinder of length 'l' is resting on its circular plane are. Arrange the following steps in the correct sequence to determine the value of 'l' if the diffrence in the height of center of gravity is 15.5 cm.
(A) Find the center of gravity of the brick and cylinder.
(B) Note the dimentions of the brick and the diffrence in the height of center of gravity.
(C) Find the valuse of difference in the height of center of gravity.
(D) Equate it with the given value and find l. ",BACD,ACBD,BCAD,BDAC,
Wave Motion and Sound,Assessment Test I,1,"Assertion (A) : It is not possible to take directly a person on the surface of the Moon.
Reason (R ) : Sound waves are mechanical waves.",A and R are true and R is the correct explanation of A.,A and R are true and R is correct explanation of A.,A is true but R is false.,Both A and R are false.,
Wave Motion and Sound,Assessment Test I,2,"Mach the statements of Column A with those Column B
(A) Mechanical wave          (p) Crests and troughts
(B) Non mechanical wave   (q) Compression and rarefactions
(C ) Longitudinal wave       (r ) Light
                                          (s) Ripples","A→s;    B→r,    C→p;     D→q","A→s;    B→r,    C→q;     D→p","A→r;    B→s,    C→p;     D→q","A→p;    B→r,    C→q ;     D→s",
Wave Motion and Sound,Assessment Test I,3,"Arrange the following incidents in the decreasing order of time taken. 
(A) The sound produced under a liquid at a depth of 100 m to reach the surface of liquid if the velocity of sound in the given liquid is 1500 m s-1.
(B) A wave of frequency 100 Hz and wave length 2 m to travel through a distance of 50 m.
(C ) A second pendulum to complete 50 oscillations.
(D) Light to reach on the surface of earth from the sun. [ Distance between the sun and the earth is approximately 1496 x 103 km]",CDBA,ABCD,ACBD ,DCBA,
Wave Motion and Sound,Assessment Test I,4,"Time period of a pendulum changes ___________
(A) when the work done to osciallate the pendulum is changed.
(B) when the bob is immersed in water.
(C ) when the mass of the bob is increased.
(D) when weight of the pendulum is increased without changing its mass.","B, C and D",B and D,"A, B, C and D","A, B and D",
Wave Motion and Sound,Assessment Test I,5,Sound produced by a tuning fork travels from air to glass. Which of the following physical quantities remains the same?,Velocity,Frequency,Wavelength,Amplitude,
Wave Motion and Sound,Assessment Test I,6,"If V1 and V2 are the velocities of sound in solid and liquid, respectively, then V1/V2.",≤ 1,> 1,<1,1,
Wave Motion and Sound,Assessment Test I,7,The time period of a pendulum of length 'l' and mass of the bod 'm' is T. The time period of a pendulum with mass of the bob 2m and length l is _________.,T,2T,3T,4T,
Wave Motion and Sound,Assessment Test I,8,"When a simple pendulum oscillates with a small smplitude 'a' its time period is T. What is its time period, when it oscillates with a small amplitude 2a?",T,2T,4T,8T,
Wave Motion and Sound,Assessment Test I,9,"If the velocity of a wave is 200 m s-1 and the time period of its sourceis 0.001s, then its wave length is _____________.",2 m,20 cm,2 cm,2 mm,
Wave Motion and Sound,Assessment Test I,10,"The frequency of vibration of a pendulum is 'n'. What is its time period, if the length of the pendulum is doubled?",√‾2 n,√‾2/ n,√‾n/ 2,2√‾n,
Wave Motion and Sound,Assessment Test I,11,The displacement time graph of a simple pendulum is shown below. Calculate its frequency in Hz.,0.01,2,0.3,0.25,X
Wave Motion and Sound,Assessment Test I,12,Which of the following statements is incorrect?,Sound requires a material medium to travel.,Sound waves are mechanical waves.,Sound waves are produced by vibrating bodies,Sound waves have the maximum velocity among all the waves.,
Wave Motion and Sound,Assessment Test I,13,Sound of a thunder is heard 't' s after the flash of lightning is seen. Determine the distance of the cloud from the ground if velocity of sound is v m s-1 (Neglect the time take for the light to travle),v / t,vt,t/v,v + t,
Wave Motion and Sound,Assessment Test I,14,"The frequency of two tuning forks A and B are 200 Hz and 100 Hz, respectively. What is the ration of the velocity of sound, when the sound is propagated through a given medium?",  2 : 1,  1 : 2,  1 : 1,  4 : 1,
Wave Motion and Sound,Assessment Test I,15,"If length of a pendulum of time period T is doubled, its frequency is ________.",1/ √‾2T,1 / T,√‾2T,2 T,
Wave Motion and Sound,Assessment Test II,1,"Assertion (A) : A person standing at equal distances from a source of sound which is placed in water and another source which is placed in air. If sound is produced by both the sources, the sound produced in the water is heard first.
Reason (R ) : The speed of sound in liquid is more than that is gases. ",A and R are true and R is correct explanation of A.,"A and R are true, but R is not the correct explanation of A.",A  is true but R is false.,Bothe A and R are false.,
Wave Motion and Sound,Assessment Test II,2,"Mathc the statement of Column A with those of Column B
(A) Velocity of wave           (p) Velocity x Time period
(B) Frequency of a wave     (q) Number of waves / time taken
(C ) Wave length                 ® Depends on source
(D) Frequency                    (s) Depends on medium","A→p;    B→q,    C→s;     D→r","A→s;    B→r,    C→q;     D→p","A→r;    B→s,    C→p;     D→q","A→s;    B→r,    C→p ;     D→q",
Wave Motion and Sound,Assessment Test II,3,"Arrange the following incidents in the increasing order of frequency of occurrence.
(A) Oscillaitions of a seconds pendulum.
(B) Rotation of the Earth in its own axis.
(C ) Sound waves produced in air from a siren. [Given velocity of sound through air 340 m s-1 and wave length is 2cm].
(D) Waves to reach the sea shore. [Give time interval between two waves to reach the sea shore is 10 s]",ABDC,DBAC,BDAC,CBDA,
Wave Motion and Sound,Assessment Test II,4,"Frequency of oscillation of pendulum changes with __________
(A) time period
(B) amplitude
(C ) length of the pendulum
(D) mass of the bob",A and C,"A, C and D",B and C,"B, A and C",
Wave Motion and Sound,Assessment Test II,5,"As the sound propagates throught a medium, its _________ changes.",Velocity,wavelength,frequency,Amplitude,
Wave Motion and Sound,Assessment Test II,6,"Sound produced by a tuning fork travels through a solid and liquid media. If f1 and f2 are the frequencies of sound in solid and liquid, then find the valud of f1/f2.", = 1,>1,≥ 1,< 1,
Wave Motion and Sound,Assessment Test II,7,"What is the new time period of a pendulum, if the length of a pendulum of time period T is doubled?",T2,√‾ 2T,2T2,4T,
Wave Motion and Sound,Assessment Test II,8,"If a pendulum make 2 oscillations per second, its time period is _________ s.",2,5,0.2,0.5,
Wave Motion and Sound,Assessment Test II,9,"If the velocity of sound wave 330 m s-1 and the frequency of oscillations is 10 Hz, then the distance between and adjacent compression and rarefaction is _________ m.",33,16.5,66,44,
Wave Motion and Sound,Assessment Test II,10,"What is the time period a body, if the frequency of a body is equal to the minimum value of the audible range of frequency?",0.05,0.5,0.2,2,
Wave Motion and Sound,Assessment Test II,11,"From the graph shown below, determine the amplitude of oscillation.",80 cm,40 cm,20 cm,10 cm,X
Wave Motion and Sound,Assessment Test II,12,"To increase the frequency of oscillation of a pendulum, its __________",length should be increased.,length should be decreased.,time period should be increased.,amplitude should be increased.,
Wave Motion and Sound,Assessment Test II,13,Sound cannot travel through_______,solid,liquid,gas,vaccum,
Wave Motion and Sound,Assessment Test II,14,The time taken to complete 100 waves is 50s. The frequency of the wave is __________Hz.,1,2,0.5,5,
Wave Motion and Sound,Assessment Test II,15,"Sound produced by a source travels through two different media. If the ratio of the velocity of sound waves travelling through the media is 1 : 3, then ratio of the wavelength is ____________",   1 : 3,  3 : 1,  6 : 5,  9 : 1,
Wave Motion and Sound,Assessment Test III,1,"Write down the steps to verify the third law of simple pendulum in a proper sequence.
(A) Arrange a pendulum and determine its length.
(B) Set the pendulum into oscillation and determine the time taken for 20 oscillations.
(C ) Determine the time period of oscillation and determine the time taken for 20 oscillations.
(D) Change the length of simple pendulum and repeat the experiment.
(E) Note the value of l / T2 in each case.",CDBAE,ABCDE,CDABE,ABCED,
Wave Motion and Sound,Assessment Test III,2,"If the distance between two successive troughs is 20 cm, then the distance between one of the crests to next trough is _________.",10 cm,20 cm,40 cm,50 cm,
Wave Motion and Sound,Assessment Test III,3,An example for flute type instrument is _______,clarinet,piccolo,oboe,bassoon,
Wave Motion and Sound,Assessment Test III,4,"Match the statements of Column A with those of Column B
(A) Loudness       (a) Group of wave length
(B) Pitch              (b) Single wave length
(C ) High quality   (c ) Amplitude
(D) Low qulaity    (d) Frequency","A→c;    B→d,    C→b;     D→a","A→c;    B→d,    C→a;     D→b","A→d;    B→c,    C→b;     D→a","A→d;    B→c,    C→a;     D→b",
Wave Motion and Sound,Assessment Test III,5,Two persons are talking behing the wall. We can differentiate their voices by _________ evne if their pitch an amplitude are equal.,loudness,quality,timbre,Both (b) and ©,
Wave Motion and Sound,Assessment Test III,6,The oscillation of a simple pendulum is graphically represented as shown in figure. The frequency of the simple pendulum is _______ Hz.,4,0.5,0.25,  1/6,X
Wave Motion and Sound,Assessment Test III,7,"A wave of time period of 20 ms travels with a velocity of 2 m s-1 If the time period of another wave is 5 ms, then velocity of second wave and the ratio of their velocity are (wave length of the two waves is same)______ and respectively.","0.8 m s-1, 7/2 ","0.25 m s-1, 5/2 ","8 m s-1, 1/4",None of these,
Wave Motion and Sound,Assessment Test III,8,"A sound wave is traveling from air to water. The velocity of the sound waves in air is 340 m S-1 and wavelength is 2m. If the wave length of the sound wave in water is 1050 cm, then its velocity of wave in water is _____.",1785 m s-1,1.785 m s-1,1.785 pm s-1,1585 m s-1,
Wave Motion and Sound,Assessment Test III,9,"When a string fixed between two end is plucked, a wave propagates along the string and relfects at the other end. If the velocity and frequency of the wave is 330 m s-1 and 1200 Hz, then the distance of first node and first anti-node from the fixed end of the string are _______ and ______, respectively.","0.1375m, 0.6875 m","0.138 m, 0.6 m","0.1375 m, 0.06875 m",None of these,
Wave Motion and Sound,Assessment Test III,10,"If the length of a seconds pendulum is first decreased by 10cm and its time period is measured and then increased by 15 cm and the time period is measured, then the ratio of the time periods in two cases is _______ (Take g = 9.8 s-2)",6 : √‾7, √‾6 : 7,√‾42 : 1, √‾6 : √‾7,
Wave Motion and Sound,Assessment Test III,11,"When you speak to your friend, which of the following paramenters has a unique value in the sound produced?",frequency,velocity,amplitude,wavelength,
Wave Motion and Sound,Assessment Test III,12,"The time period of a pendulum on the surface of a planet is 8 s and same simple pendulum is a second pendulum on the Earth surface. What is the value of x, if the acceleration due to gravity of the planet is 1/x times of that of the earth?",16,8,4,2,
Wave Motion and Sound,Assessment Test III,13,"The velocity of sound increases by 50% when it enters a liquid from air and when it enters another liquid from air, increase in velocity is 150%. What is the ratio of % increase in the wavelength in two cases?", 1 : 1, 1 : 2, 1 : 4, 1 :3,
Wave Motion and Sound,Assessment Test III,14,The length of a second pendulum on the Earth to be decreased to make it as a seconds pendulum on the surface of the Moon is _______ time its length on the Earth., 1/6, 11/6, 5/6 , 7/ 6,
Wave Motion and Sound,Assessment Test III,15,Two sound waves 'P' and 'Q' travel with amplitude 3 mm and 4 mm. What is the ratio of their loudness?, √‾3 : 2,  9 : 16,2: √‾3, 16 : 9,
Wave Motion and Sound,Assessment Test IV,1,"The time taken by a particle to move from one extreme position to the other extreme position is 0.1s. If the distance between two adjacent crests is 1.5m, write the steps in sequential order to determine the velocit of the wave.
(A) Note down the wavelength (h) 
(B) Find the frequency (f)
(C ) Note down the time period (T)
(D) Find the velocity by the formula v = fh",BCAD,CBAD,ABCD,ACBD,
Wave Motion and Sound,Assessment Test IV,2,"What is the wavelength, if the distance between one crest to the next trough of a wave is 12.5 cm?",25m,25 cm,2.5 m,None of these,
Wave Motion and Sound,Assessment Test IV,3,The musical instrument in which a membrance is excited to produce musical notes is called _______ instrument.,flute type,reed type,stringed,percussion,
Wave Motion and Sound,Assessment Test IV,4,"Match the statements of Column A with those of Column B
(A) Pitch                       (a) Hertz
(B) Wavelength             (b) Centimetre
(C ) Loudness               (c ) No unit
(D) Amplitude               (d) Decibel","A→c;    B→b,    C→d;     D→b","A→a;    B→b,    C→d;     D→b","A→c;    B→d,    C→b;     D→a","A→c;    B→d,    C→a;     D→b",
Wave Motion and Sound,Assessment Test IV,5,"If the loudness of sound of two persons is equal, then ________.",Their frequency of sound is equal ,Their amplitude of sound is equal,Their quality of sound is equal,Both (a) and (b),
Wave Motion and Sound,Assessment Test IV,6,"The frequency and amplitude of simple pendulum are 2 Hz and 4 cm, respectively. What is the suitable graph for this simple pendulum?",x,x,x,x,
Wave Motion and Sound,Assessment Test IV,7,"A wave of frequency 100 Hz travels with a velocity of 3 m s-1. If the time period of another wave is 8 ms, then its velocity and also the ratio of their velocities are ______ (Assume that the wavelength of the two waves is the same)."," 30/8 m s-1, 5/2"," 30/8 m s-1, 4/5"," 30/8 m s-1, 2/5",None of these,
Wave Motion and Sound,Assessment Test IV,8,"A sound wave is traveling from air to glass. The velocity of the sound  in air is Va and wavelength is ha. What is the velocity in glass, if the wave length of the sound wave in the glass is hg?",ha vg/ va,hg vg/ ha,ha va/ vg,ha va/ hg,
Wave Motion and Sound,Assessment Test IV,9,"When a string fixed between two end is plucked, a wave propagates along the string and relfects at the other end. If the frequency and distance of the first anti-node from first end of the string are 1000 Hz and 2m, respectively, the velocity of the wave is ______________",8000m s-1,8000cm s-1,8 x 10-3 cm s-1,9000m s-1,
Wave Motion and Sound,Assessment Test IV,10,"The length of a second pendulum is first decreased by 10cm and its time period is found, then increased x cm and its time period is found. If the ratio of time periods in two cases is √‾3 : 2, then find the value of x",10,20,30,40,
Wave Motion and Sound,Assessment Test IV,11,"When a sound wave is traveling from one medium to another medium, which of the following parameters have a unique value in the sound progation?",frequency,wavelength,Velocity,Speed,
Wave Motion and Sound,Assessment Test IV,12,"The time period of a simple pendulum is 4 s on the surface of the earth. What is the length of the pendulum (in m), if it takes 2.3s to complete one oscillation on the surface of the planet whose 'g' value is thrice that of the earth ? (Take n2 =g)",1,2,3,4,
Wave Motion and Sound,Assessment Test IV,13,The velocity of sound increases by 75% when it enters a liquid from air and their is  a 25% increase in the wavelength when it enters into another liquid from the first liquid. The velocity of sound in the second liquid is ________ if the velocity of sound in 1m liquid is 1100 m s-1.,"1,275 ms-1","1,375 ms-1","1,375 cms-1","1,275 cms-1",
Wave Motion and Sound,Assessment Test IV,14,"The time period of a simple pendulum on the surface of the Earth is 5 s. To maintain the same time period on the surface of the planet of g value twice that of the earth, the change in the length of the pendulum is _________ (Take the value of acceleration due to gravity on the Earth as n2)",6.25 m,6.25 cm,62.5 nm,62.5 pm,
Wave Motion and Sound,Assessment Test IV,15,"The % increase in the amplitude of sound is 20%, then % change in loudness is ________",11,22,33,44,
Light,Assessment test I,1,"A light ray incident on a reflecting surface with an angle of incident of 30°, The angle of deviation is_______,",60°,30°,120°,90°,
Light,Assessment test I,2,What is the nature of the images formed by a plane mirror ?,real,magnified,virtual,diminished,
Light,Assessment test I,3,"what is the number images formed, when the angle between two mirrors is  72° ?",4,5,6,3,
Light,Assessment test I,4,"A light ray travelling from medium 'A' to medium'B'undergoes refraction and another light ray travelling from 'A' to 'C' undergoes reflection. If A,Band C are transparent media and μA, μB and μC are their refractive indices, which of the following is necessarily true? ",μA > μB,μA < μB,μB > μC,μB < μC,
Light,Assessment test I,5,"A light ray travels through three media A,B, and C as shown below. If ʋA,ʋB and ʋC are the velocities of the light in A,B,C respectively, then ",ʋB > ʋA,ʋB > ʋC,ʋC > ʋA,ʋB > ʋC,X
Light,Assessment test I,6,"Assertion (A) :When vissible light is passed through a pris, violet colour is seen at the bottom of the screen.
Reason( R ) : prism has the highest refractive index for voilet light.",A and R are true and R is the correct explanation of A.,A and R are true but R is not the correct explanation of A.,A is true but R is false.,Both A and R are false.,
Light,Assessment test I,7,"Assertion (A) :A convex lens placed in air always forms a real images.
Reason( R ) : Any light ray passing through a convex lens is converged.",,,,,
Light,Assessment test I,8,"objects are placed infront of a convex lens of local length 20 cm at the following positions, Arrange these positions in the increasing order of the size of their image.
(A) At 2F1  
 (B) At F1 
(C) Between 2F1 and F1
 (D) Infinity ",,,,,
Light,Assessment test I,9,a light ray travells from air to four different media as shown below. Arrange them in the increasing order of wave length of light rays in these media.,ACBD,DBCA,DCDB,CBDB,X
Light,Assessment test I,10,"Match the statements of Coloumn A with those of Coloumn B
(A) Blue colour of Sky                                  (a) Total internal reflection
(B)  Mirage                                                    (b) Scattering of light
(C)  Twinkling of Stars                                  (c) Dispertion
(D) Formation of  rainbow                             (d) Refraction","A -> b;  B -> a; C -> d, D -> c","A -> a;  B -> b; C -> c, D ->d","A -> b;  B -> c; C -> b, D -> a","A ->c;  B -> d; C -> b, D -> a",
Light,Assessment test I,11,Which of the following takes place in periscopes in which prisms are used.,refraction,total internal reflection,reflection,scattering,
Light,Assessment test I,12,"The velocities of light through media 'A' and 'B' are V and 2V, respectively, The value of sin C is ________[ where 'C' is the critical angle].",1/2.,1/3.,3,2,
Light,Assessment test I,13,An object of height 5 cm is placed infront of a convex lens of local length 20cm at a distance of 30 cm. what is the height of the image (in cm)?,20,30,10,40,
Light,Assessment test I,14,The focal length of a eye lens is ʄ. What is the value pof the diameter of the eye ball?,ʄ,2ʄ,3ʄ,ʄ/2,
Light,Assessment test I,15,A glass slab of thickness 5 cm and refractive 3/2 is placed over a photo. The apparent shift in position of the photo is _________cm.,7/3.,5/3.,5/2.,5/4.,
Light,Assessment test II,1,"When a light ray incident on a reflecting surface, the angle of deviation is found to be 90°. What is the value of the angle of reflection?",45°,90°,160°,120°,
Light,Assessment test II,2,"Image formed on a convex mirror is ___________.
(A) real  (B) magnified (C) virtual  (D) dimished",,,,,
Light,Assessment test II,3,The number of images formed by the combination of two mirrors is 9. What is the angle between the two mirrors ?,36°,40°,90°,both (a) and (b),
Light,Assessment test II,4,"When a light ray travells from a medium P and Q,  it undergoes total internal reflection. Then, avoiding normal incidence _________",any light ray travelling from P to Q undergoes reflection,any light ray travelling from Q to P undergoes reflection,any light ray travelling from Q to P undergoes refraction,None of these,
Light,Assessment test II,5,"A light ray travels from medium P to Q and R as shown below. If μP, μQ and μR are the refractive indices of the media P,Q and R, respectively, then find the relation between them.   ",μP > μQ,μR > μQ,μR > μP,μP > μQ,X
Light,Assessment test II,6,"Assertion (A) : Voilet and red light entering from air, traveling same distance through a glass slab travel for same time interval.
Reason (R ) : Velocities of voilet and red light travelling through glass slab are same.",A and R are true and R is the correct explanation of A.,A and R are true but R is not the correct explanation of A.,A is true but R is false.,Both A and R are false.,
Light,Assessment test II,7,"Assertion (A) : A convex lens placed in air always forms virtual image
Reason (R ) : Any light ray passing through a concave lens is diverged.",A and R are true and R is the correct explanation of A.,A and R are true but R is not the correct explanation of A.,A is true but R is false.,Both A and R are false.,
Light,Assessment test II,8,"When an object is moved away from a convex mirror, what happens to the image?",becomes smaller,moves closer to the focus,becomes inverted,Both (a) and (b),X
Light,Assessment test II,9,A light ray travels from a medium 'm' to four different media as shown below. Arrange them in the increasing order of critical angle. ,ABCD,DCBA,CABD,DBAC,
Light,Assessment test II,10,"Match the statements of coloumn A with those of coloumn B,
      Coloumn A                                                                   Coloumn B
(A) Optic fibre communicatio                        (a) Reflection
(B)  Apparent depth of swimming pool          (b) Scattering 
(C)  Formation of image by a plane mirror     (c) Total internal reflection
(D) Orange colour of Sky                              (d) Refraction",,,,,
Light,Assessment test II,11,The periscopes in which mirror are used. __________ takes place,reflection,total internal reflection,refraction,scattering,
Light,Assessment test II,12,"The Critical angle of a pair of media is 'C'. If velocity of light through the denser medium is V, the velocity of the light through the rarer medium is _______,",,Sin,,V Sin C,
Light,Assessment test II,13,"When an object of height 3 cm is placed infront of a convex lens of focal length 20 cm, the height of the real image is found to be 6cm. What is the distance between the object and image?",20,30,10,40,
Light,Assessment test II,14,"The focal length of the defective eye lens of a person is less than the diameter of the eye ball. Then the person is suffering from ________,",short sightedness,long sightedness,defect in cornia nerves,defect in optical nerve,
Light,Assessment test II,15,"A bird is flying horizontally above a swimming pool at a distance of 30m above the surface of water. If the refractive index of water is 4/3, the apparent shift in position of the bird's image is _______, ",10 m,20 m ,15 m,12 m,
Light,Assessment test III,1,Choose the correct statement (S),An object is visible only if the light is reflected from it,Light is the only form of energy which causes the sensation of vision.,Formation of a shadow is due to the rectilinear propogation of light.,All of the above,
Light,Assessment test III,2,"The Point of intersection of reflected rays is _______,",a real object,a real image,a virtual image,a virtual object,
Light,Assessment test III,3,"An optical instrument is placed inside the box as shown below. The incident rays and emergent rays are also shown. The optical instrument could be _____,",Only a plane mirror,only a convex mirror,only a concave mirror,both plane mirror and convex mirror,X
Light,Assessment test III,4,Light rays are incident onb a plane mirror as shown below. What is the image distance with proper sign convertion ?,+20 cm,-20 cm,+40 cm,-40 cm,X
Light,Assessment test III,5,A concave mirror of focal length 30 cm forms a real image whose size is thrice the size of the object which is at the distance of _______cm.,60,50,40,70,
Light,Assessment test III,6,What should be the shift in the position of a plance mirror so that the shift in position of the image is 20 cm towards the mirrors?,20 cm,40 cm,10 cm,80 cm,
Light,Assessment test III,7,The velocity of light in air is 3 x        m       . What is the velocity of light in a medium whose refractive index is 1.8?,1.6 x        m ,1.32 x        m ,2.22 x        m ,2.8 x        m ,
Light,Assessment test III,8,"When a person suffering from long sightedness looks at an object very close to him, the image distance of the eye lens is ______ that of a normal eye.",lesser than,equal to,greater than,half of,
Light,Assessment test III,9,"In the outer space, the sky appears _________,",blue due to scattering,Orange due to refraction,dark as there is no scattering,while as there is no scattering,
Light,Assessment test III,10,"Match the statements of coloumn A with those of coloumn B,
Coloumn A                                                        Coloumn B
(A) Scatering                                  (a) Twinkling of stars
(B)  Total internal reflection         (b) Formation of image by a plane mirror
(C) Refraction                                 (c) Sparking of diamond
(D) Reflection                                 (d) Blue colour of the sky",,,,,
