Select a pure substance,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,3,The property of metals to be hammered into their sheets is called,malleability,ductility,tensile strength,sonorous nature,,a,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,4,Select the metal that is soft,aluminium,Iron,Sodium,Lead,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,5,Metals combine with oxygen to form an oxide. The nature of oxide formed is ___________,Acidic,Basic,Neutral,Amphoteric,,b,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,6,The process of eating away of metals layer by layer due to formation of metal compound on surface is called,galvanisation,amalgam formation,orosion,vulcanization,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,7,Which of the following metals has no reaction even with steam,Sodium,Calcium,Iron,Silver,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,8,The most characteristic property of metals is their tendercy to,Form basic oxides,Form hydrides,Lose electrons,Gain electrons,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,9,"The process of protecting iron, from rusting, by coating with zinc is called",Rusting,Roasting,Smelting,Galvanization,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,10,The correct order of metals in the activity series is,Cu > Zn > Mg > Ca,Ca > Zn > Cu > Mg,Zn > Mg > Cu > Ca,Ca > Mg > Zn > Cu,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,11,Sodium reacts with cold water to form,sodium hydroxide and hydrogen,sodium hydroxide and oxygen,sodium hydride and oxygen,None of these,,a,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,12,"ne reactivities of iron, magnesium, sodium and zinc towards water are in the order",Fe > Mg > Na > Zn,Zn > Na > Mg > Fe,Na > Mg > Zn > Fe,Mg > Na > Fe > Zn,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,13,Select the one that occurs in native form.,Calciuim,Aluminium,Sodim,Gold,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,14,Antimony and arsenic can be classified as,Metals,Non metals,Metalloids,Any one of these,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,15,Select the property that is associated with non-metals.,Low density,Low melting point,Poor conductor of electricity,All of the above,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,16,In the process of welding metals like stainless steel and aluminium,oxyacetylene flame is used,liquid helium is used,liquid oxygen is used.,liquid nitrogen is used,,a,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,17,Non-metals are majorly present as,Solids,Liquids,Gases,Both (a) and (c) ,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,18,"When MgO is dissolved in water, Mg(OH)~2* is obtained.
A red litmus paper dipped in this solution turns blue; this shows that the solution is _______ in nature",Acidic,Neutral,Alkaline,Reactive,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,19,Which of the following methods is most suitable for preventing an iron frying pan from rusting?,Applying grease,Applying paint,Applying a coating of zinc,All of the above,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,20,Which of the following statement is false?,Metals are good conductors of heat and electricity.,"Gold, Silver and Zinc are most malleable metals.",Mercury is the only liquid metal.,Bromine is the only liquid non-metal.,,b,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,21,Which of the following statement regarding non-metals is true?,Non-metals are of two types only solids and gases.,Non-metals reacts with oxygen to form basic oxides generally.,"Non-metals are non-lustrous with dull apppearence. Graphite, an allotrope of carbon and iodine have shining lustrous surfaces.",Non-metals replace hydrogen from acids.,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,22,A metal occurs in nature as its ore X which on heating in air converts to Y. Y reacts with unreacted X to give the metal. The metal is,Hg,Cu,Zn ,Fe,,b,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,23,The metal used to recover copper from an aqueous solution of copper sulphate is :,Na,Ag,Hg,Fe,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,24,Magnesium ribbon is rubbed with sand paper before making it to burn. The reason of rubbing the ribbon is to :,remove moisture condensed over the surface of ribbon.,generate heat due to exothermic reaction,remove magnesium oxide formed over the surface of magnesium.,mix silicon from sand paper (silicon dioxide) with magnesium for lowering ignition temperature of the ribbon.,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,25,The reaction that differs from the rest of the reactions given is :,formation of calcium oxide from limestone,formation of aluminium from aluminium oxide,formation of sodium carbonate from sodium hydrogen carbonate,formation of mercury from mercuric oxide,,b,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,26,Al~2*O~2* reacts with,Only water,Only acids,Only alkalis,Both acids and alkalis,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,27,White phosphorus catches fire in air to produce dense white fumes. This is due to the formation of,P~4*O~10*,PH~3*,H~3*PO~3*,H~3*PO~2*,,a,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,28,Symboi of tin is,Pb,Tin,Ti,Sn,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,29,"The following observations are given for four metals:
I.  Metal H does not react with dilute HCI.
II.  Metal K reacts with warm water.
III. Metal L does not react with water but displaces metal H from its aqueous salt solution.
IV. Metal M reacts with cold water.
Choose the correct decreasing order of reactivity of these metals amongst the following:",M > L > H > K,K > M > H > L,M > K > L > H,L > H > K > M,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,30,"Which of the following set of reactions will not occur?
I.   MgSO~4*(aq) + Fe(s) -> FeSO~4*(aq) + Mg(s)
II.  CuSO~4*(aq) + Fe(s) -> FeSO~4*(aq) + Cu(s)
III. MgSO~4*(aq) + Cu(s) -> CuSO~4*(aq) + Mg(s)
IV. CuSO~4*(aq) + Zn(s) ZnSO~4*(aq) + Cu(s)",I and III,II and IV,"I, II and IIII","II, III and IV",,a,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,31,Aqueous solution of CsO~2* is,Basic,Neutral,Acidic,Amphoteric,,a,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,32,Which type of ores are concentrated by Froth flotation process,Oxide ores,Sulphide ores,Carbonate ores,Nitrate ores,,b,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,33,Which of the following is amphoteric oxide?,Na~2*O,SO~2*,Al~2*O~3*,CaO,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,34,"Consider the elements of group-l4. Choose the correct alternative.
A) Si and Ge are semi conductors
B) Carbon and silicon are non-metals
C) Sn and Pb are metals
D) Si and Ge are metalloids","A, B, C and D","A, B and D","A, C and D","A, B and C",,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,35,"Adding zinc to blue coloured copper sulphate solution, a solution of zinc sulphate is formed.",Reddish,Colourless,Greenish,Purple,,b,,MCQ
2,Materials: Metals and Non-Metals,Morethan one Option Correct,,1,Which of the following will produce an acidic oxide on reaction with oxygen?,Calcium,Carbon,Sulphur,Nitrogen,,"b,c,d",,MAQ
2,Materials: Metals and Non-Metals,Morethan one Option Correct,,2,Which of the following element(s) will produce basic oxides on reaction with oxygen?,Sodium,Magnesium,Aluminium,Carbon,,"a,b",,MAQ
2,Materials: Metals and Non-Metals,Morethan one Option Correct,,3,Which of the following exists in liquid state at room temperature?,Mercury,Gallium,Bromine,Helium,,"a,b,c",,MAQ
2,Materials: Metals and Non-Metals,Morethan one Option Correct,,4,Which of the following show lustre?,Sodium,Graphite,Iodine,Neon,,"a,b,c",,MAQ
2,Materials: Metals and Non-Metals,Morethan one Option Correct,,5,Which of the following metal(s) is/are classified as every day metal(s)?,Sodium,Aluminium,Iron,Copper,,"b,c,d",,MAQ
2,Materials: Metals and Non-Metals,Morethan one Option Correct,,6,Which of the following lie above hydrogen in the activity series?,aluminium,Silver,Iron,Lead,,"a,c,d",,MAQ
2,Materials: Metals and Non-Metals,Morethan one Option Correct,,7,Which of the following will displace copper from copper sulphate solution?,Nickel,Tin,Lead,Platinum,,"a,b,c",,MAQ
2,Materials: Metals and Non-Metals,Assertion - Reason,,1,"Assertion : Silver and gold are found in free state in nature.
Reason : Silver and gold are noble metals.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
2,Materials: Metals and Non-Metals,Assertion - Reason,,2,"Assertion : The elements sodium, potassium, aluminium are classified as metals because of their tendency to form  cations.
Reason : Metals are malleable, ductile and good conductors of heat and electricity.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,b,,AR
2,Materials: Metals and Non-Metals,Assertion - Reason,,3,"Assertion : Zinc is used in galvanization of iron.
Reason : Galvanization increases the life of iron articles by protecting them from rusting.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
2,Materials: Metals and Non-Metals,Assertion - Reason,,4,"Assertion : When a piece of aluminium is put in a solution of copper sulphate we get a colourless solution.
Reason : Aluminium placed above copper in the activity series.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
2,Materials: Metals and Non-Metals,Assertion - Reason,,5,"Assertion : Sodium metal reacts violently with water to produce heat and fire.
Reason : Potassium metal reacts violently with water to form potassium hydroxide and hydrogen gas.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,b,,AR
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,1,The alloy brass consists of,Copper and Tin,Copper and Zinc,Copper and Aluminium,Tin and Lead,,b,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,2,Duralumin is an alloy containing,Magnesium and aluminium,Magnesium and copper,"Magnesium, copper and aluminium","Magnesium, copper, manganese and aluminium",,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,3,Sulphide ores are usually concentrated by,Gravity separation,Froth flotation process,Calcination,Hydraulic washing,,b,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,4,The process to remove unwanted impurities from the ore is called,purification,calcination,bassimerisation,concentration.,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,5,Heating of concentrated ore in absence of air for conversion into oxide ore is known as,Roasting,Calcination,Reduction,None of these,,b,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,6,The reducing agent im thermite process is,Al,Mg,BaO~2*,MnO~2*,,a,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,7,The method of zone refining of metals is based on the principle of,Greater solubility of the impurity in the molten state than in the solid,Greater mobility of the pure metal than that of the impurity,Higher melting point of the impurity than that of the pure metal,Greater noble character of the solid metal than that of the impurity.,,a,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,8,Calcination is the process of heating the ore,In a blast furnace,In absence of air,In presence of air,None of these,,b,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,9,The chief ore of aluminium is,Cryolite,Feldspar,Kaolin,Bauxite,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,10,Electrolytic reduction method is used in the extraction of,highly electronegative elements,highly electropositive elements,transition metals,noble metals,,b,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,11,Bronze is a mixture of,Pb + Sn,Cu + Sn,Cu + Zn,Pb + Zn,,b,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,12,Chemical method used in concentration of ore is known as,bleaching,leaching,roasting,calcination,,b,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,13,"The process of extraction of metal from its ores, is known as",concentration,calcination,purification,metallurgy,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,14,Roasting is generally done in case of the,oxide ores,silicate ores,sulphide ores,carbonate ores,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,15,The rocky material present in ore is known as,gangue,flux,slag,None of  these,,a,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,16,Select the correct statement,Amineral cannot be an ore.,All ore cannot be a mineral,All ores are minerals.,All minerals are ores,,c,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,17,The noble gas that does not occur in the atmosphere is,He,Kr ,Ne,Ra,,d,,MCQ
2,Materials: Metals and Non-Metals,Multiple Choice Questions,,18,Which one is malachite from the following?,CuFeS~2*,Cu(OH)~2*,Fe~3*O~4*,CuCO~3*Cu(OH)~2*,,d,,MCQ
2,Coal and Petroleum,Multiple Choice Questions,,19,Match the following :,a,b,c,d,CH-2-18-ROW-206,a,,MCQ
2,Coal and Petroleum,Morethan one Option Correct,,20,Which of the following alloys contain tin as one of the constituents?,Bronze ,Solder,Gun Metal,Monel,,"a,b,c",,MAQ
2,Coal and Petroleum,Morethan one Option Correct,,21,The process of zone refining is used in the purification or,Si,Al,Ag,Cu,,a,,MAQ
2,Coal and Petroleum,Morethan one Option Correct,,22,The role of calcination in metallurgical operations is,to remove moisture,to decompose carbonate,to remove volatile impurities,to achieve all the above.,,d,,MAQ
2,Coal and Petroleum,Morethan one Option Correct,,23,Which of the following metals is extracted by the electrometallurgical method ?,Cu ,Fe,Na,Ag,,c,,MAQ
2,Coal and Petroleum,Assertion - Reason,,27,"Assertion : Leaching is a process of reduction.
Reason : Leaching involves treatment of the ore with a suitable reagent so as to make it soluble while impurities remains insoluble.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,d,,AR
2,Coal and Petroleum,Assertion - Reason,,28,"Assertion : Copper obtained after bassemerization is  known as blister copper.
Reason : Blisters are produced on the surface of the metal due to escaping of dissolved SO~2*",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
2,Coal and Petroleum,Assertion - Reason,,29,"Assertion : Lead, Tin and bismuth are purified by liquation method.
Reason : Lead, Tin and bismuth have low m.p. as compared to impurities.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
3,Coal and Petroleum,Multiple Choice Questions,,1,"Descriptions ot unknown compounds 'X', 'Y' and 'Z' are given below.
X : A petroleum product used in place of coal tar for metalling the road.
Y : Hard as stones, used to cook food and to electricity in thermal produce power plants.
Z : A pure form of carbon used in the extraction of many metals also in the manufacture of steel. 
'X', 'Y', 'Z' respectively are",a,b,c,d,CH-3-1-ROW-214,b,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,2,"(i)   Natural gas is an exhaustible source of energy.
(i)   Fossil fuels can be prepared in laboratory.
(iii) LPG is considered to be a good fuel for domestic uses.
(iv) Natural gas is obtained by fractional distillation of crude oil. 
Which of the above statements are correct","(i), (ii)","(i), (ii), (iv)","(i), (iii), (iv)",All of the above,,a,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,3,"The corect statement for the gaseous fuels is/are 
A) They burn without producing smoke and CO~2*.
B) They have two calorific value.
C) They are easy to ignite.
D) They have high calorific value.",B and C,C and D,A and B,B and D,,b,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,4,The world's first oil well was drilled in,Kazakhstan,Venezuela,Pennsylvania,Brazil,,c,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,5,Mark the incorrect statement.,Coking is the process to convert coal into coke.,Very high level of volatile matter in the coal results in the formation inferior quality coke.,Different types of coal are blended to reach acceptable levels of volalility before coking.,"Since smoke producing constituents are present in coke, it is used as fuel.",,d,,MCQ
3,Coal and Petroleum,Assertion - Reason,,1,"Assertion : Natural gas deposits are often found near oil deposits.
Reason : Petroleum and natural gas are formed when layers of decomposing plants and animals matter are exposed to intense heat and pressure under the surface of the earth over millions of years.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
3,Coal and Petroleum,Assertion - Reason,,2,"Assertion : Petroleum floats over water.
Reason : Petroleum is less dense than water.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
3,Coal and Petroleum,Assertion - Reason,,3,"Assertion : Petroleum conservation research association (PCRA) advises people how to save petrol and diesel.
Reason : PCRA suggests for a regular insurance of vehicle.
",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,c,,AR
3,Coal and Petroleum,Assertion - Reason,,4,"Assertion : CNG is used for power generation.
Reason : Natural gas is easy to transport through pipes.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,b,,AR
3,Coal and Petroleum,Assertion - Reason,,5,"Assertion : Coal and petroleum resource are limited. We should use them judiciously.
Reason : Fossils fuels are inexhaustible resources.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
3,Coal and Petroleum,Fill in the Blanks,,1,Natural gas mainly consists of _________,Methane,,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,2,The main products obtained from the destructive distillation of coal are _______ compounds ________ tar and _________ gas.,"Ammonium, Coal",,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,3,We can separate petroleum into its various fractions by fractional/distillation because the different fraction have different ____________,Boiling Point,,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,4,The process of conversion of wood into coal is called ________,Carbonisation,,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,5,_________ is the variety of coal with maximum carbon content,Apthracite,,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,6,Petroleum and natural gas were formed from dead _________,Organism,,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,7,"In fractional distillation, hydrocarbons with the _________ (highest/lowest) boiling points condense tirst.",Highest,,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,8,Petroleum or crude oil pumped out from __________ is not pure.,Oil Wells,,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,9,Coal mining causes many _________ impacts on environment,Adverse (Bad),,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,10,These days _______ is being used in vehicles in place of petrol and diesel,CNG,,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,11,Lignite contans about __________ percent carbon.,70,,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,12,Coal gas contains_________ and ________ gases.,"Hydrogen, Methane, Carbon Monoxide",,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,13,Producer gas is a mixture of ________ and _________,Carbon Monoxide and Nitrogen,,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,14,The crude oil is heated to a high temperature and passed into ______ column.,Fractionating,,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,15,Formation of tissil fuels is a very __________ process.,Slow,,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,16,The black thick liquidwith ________ smell is known as coal tar.,Unpleasant,,,,,,,FIB
3,Coal and Petroleum,Fill in the Blanks,,17,Excessive buming of fossil fuels is a major cause of _________,Air pollution,,,,,,,FIB
3,Coal and Petroleum,True / False,,1,The percentage of carbon in anthracite is 60%.,0,,,,,,,TF
3,Coal and Petroleum,True / False,,2,Petroleum is called black gold.,1,,,,,,,TF
3,Coal and Petroleum,True / False,,3,Bituminous coal is softer than anthracite.,1,,,,,,,TF
3,Coal and Petroleum,True / False,,4,Petroleum is a fossil fuel.,1,,,,,,,TF
3,Coal and Petroleum,True / False,,5,Petroleum is formed by the decomposition of remains of marine.,1,,,,,,,TF
3,Coal and Petroleum,True / False,,6,The refined form of petroleum is called crude oil.,0,,,,,,,TF
3,Coal and Petroleum,True / False,,7,Petrol and diesel are obtained from a natural resources called petroleum,1,,,,,,,TF
3,Coal and Petroleum,True / False,,8,Coal is the purest form of carbon.,0,,,,,,,TF
3,Coal and Petroleum,True / False,,9,"The destructive distillation of coal gives coke, coal tar, coal gas, etc.",1,,,,,,,TF
3,Coal and Petroleum,True / False,,10,Peat contains 96% carbon and burns without smoke.,0,,,,,,,TF
3,Coal and Petroleum,True / False,,11,The distribution of coal deposits is uniform in the earth's crust.,0,,,,,,,TF
3,Coal and Petroleum,True / False,,12,Coke is 98% carbon like charcoal it is good fuel and burns without smoke.,1,,,,,,,TF
3,Coal and Petroleum,True / False,,13,"Coal tar is a mixture of different carbon compounds. It is a thick, black liquid.",1,,,,,,,TF
3,Coal and Petroleum,True / False,,14,Ammoniacal liqour contains ammonia produced as a result of destructive distillation of coal is absorbed in water.,1,,,,,,,TF
3,Coal and Petroleum,True / False,,15,Methane is released during mining of coal.,1,,,,,,,TF
3,Coal and Petroleum,True / False,,16,Petroleum is formed from the fossils remains of dead animals.,TRUE,,,,,,,TF
3,Coal and Petroleum,True / False,,17,Inhaling coal dust is useful for humans.,0,,,,,,,TF
3,Coal and Petroleum,True / False,,18,Carbonisation is formation of coal from the carbon content of dead plants.,1,,,,,,,TF
3,Coal and Petroleum,True / False,,19,Compressed natural gas is a non polluting fuel.,1,,,,,,,TF
3,Coal and Petroleum,True / False,,20,Petroleum gets its name from petra and oleum means rock oil.,1,,,,,,,TF
3,Coal and Petroleum,True / False,,21,Natural gas can be sent to the houses through pipes.,1,,,,,,,TF
3,Coal and Petroleum,True / False,,22,Oxygen in air is an exhaustible natural resource.,0,,,,,,,TF
3,Coal and Petroleum,True / False,,23,Wildlife is an exhaustible natural resource.,1,,,,,,,TF
3,Coal and Petroleum,True / False,,24,CNG is less polluting fuel than petrol and diesel.,1,,,,,,,TF
3,Coal and Petroleum,Multiple Choice Questions,,1,Select the one that is not derived from fossil fuel.,LPG,Kerosene,Diesel,Biogas,,d,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,2,The conversion of wood into coal occurs by a biochemical process that takes over millions of years and is known as ________,Catenation,Carbonisation,Pyrolysis,Destructive distillation,,b,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,3,Water gas is,CO + CO~2*,CO + N~2*,CO + H~2*,CO + N~@* + H~2*,,c,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,4,Main constituent of marsh gas is,Ethane,Acetylene,Ethyne,Methane,,d,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,5,Petroleum refining is -,distillation of petroleum to get different fractions of it.,obtaining aromatic compounds from aliphatic compounds present in petroleum.,cracking of petroleum to get gaseous hydrocarbons.,purification of petroleum.,,a,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,6,The natural petroleum contains,saturated hydrocarbons.,cyclic saturated hydrocarbons.,compounds of sulphur.,All of these,,d,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,7,Kerosene is used as fuel because it is,More volatile,Less volatile,cheap,Abundantly available,,b,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,8,The origin of petroleum is indicated by the fact that,its constituents can be separated by fractional distillation.,petroleum was formed from living sea organisms which after death get deposited in sea bed for long period of time.,petroleum contains traces of chlorophyll.,oil fields are located with the help of seismograph.,,b,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,9,Gasoline is obtained from crude petroleum oil by its,fractional distillation,vacuum distillation,steam distillation,pyrolysis,,a,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,10,Natural gas is a very important fossil fuel because,it is easy to transport through pipes and emits no pollutants,it is a mixture of various constituents.,it is used as a fuel in many industries.,it is a tough porous and black substance.,,a,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,11,Natural gas mainly contains,Ehane,Butane,Propane,Methane,,d,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,12,Kerosene is used as fuel,in home and industry,for heavy motor vehicles,"for stove, lamps and jet aircraft",for electric generator,,c,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,13,We can use coke,as an oxidising agent,as a reduc1ng agent,in printers ink,as electrode,,b,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,14,Coal tar is a ,"black, thick liquid.","dark, oily liquid","tough, porous and black substance.",Gas,,a,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,15,Mark the correct statement.,Coke starts burning when exposed to air.,Coal gas is obtained as a gaseous product during destructive distillation of coal.,Coal gas can be condensed back to give coal.,Coal tar and ammonical liquor are useless product.,,b,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,16,Which type of coal has highest percentage of carbon?,Anthracite,Bituminous,Peat,Lignite,,a,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,17,Coal gas is a mixture of -,CH~4* + H~2* + CO,C~4*H~10* + H~2*,C~4*H~10* + H~2*,C~2*H~6* + H~2* + O~2*,,a,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,18,Gasoline is the name of,erude oil,the fraction of petroleum condenses with in the range of 343-393 K and hasa composition of C~5* -C~10*,the mixture of uncondensed gases produced in the distillation of crude oil.,the mixture of residue and gas oil obtained in the distillation of crude oil.,,b,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,19,The order of appearance of the following with rising temperature during the refining of crude oil is,"kerosene oil, gasoline, diesel","diesel, gasoline, kerosene oil","gasoline, diesel, kerosene oil","gasoline, kerosone oil, diesel.",,d,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,20,The most important use of coal tar is,as a reducing agent in metallurgy,As a fuel,as a source of aromatic hydrocarbons,for making shoe polish,,c,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,21,The process of heating coal in the absence of air is called,fractional distillation,distillation,destructive distillation,None of these,,c,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,22,Which is the best variety of coal?,Peat,Lignite,Anthracite,Bituminous,,c,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,23,The non-combustible element of producer gas is,CO,N~2*,H~2*,H~2*O,,b,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,24,Destructive distillation of coal produces,Coal Gas,Natural Gas,Biogas,None of these,,a,,MCQ
3,Coal and Petroleum,Multiple Choice Questions,,25,Ligmite coal contains how many percentage of carbon?,60%,67%,64%,88%,,b,,MCQ
