Chapter Number,ChapterName,SubChapterName,TestNumber,QuestionNumber,"Metal with electronic configuration 2,8, 14, 2 can form two different hydrox- ides A and B. Both the hydroxides on reaction with sulphuric acid give two",Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),4,A piece of lead weight 232 gm and has a volume of 20 cm<sup>3</sup>.  find the density of lead,11.6 /cm<sup>3</sup>,11.2 gm/cm<sup>3</sup>,12 gm/cm<sup>3</sup>,11.6 kg/cm<sup>3</sup>,,A,,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),5,An iron neddle sinkds is water as its density is ________ 1 gm/cm<sup>3</sup>,Greater than,Lesser than,Equal to,None,,A,,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),6,The weight is found by ________ balance,Physical balance,Spring balance,Sensitive balance,All the above,,B,,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),7,The density of body is represented by the formula:,d=v/m,d=m/v,d=Mv,d=1/mv,,B,,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),8,In order to find the density of a solid we have to find its,Mass and area,weight and area,Mass and Volume,Weight and Volume,,C,,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),9,The density of wood is 0.65 g/cm<sup>3</sup>.  the density in SI system is,65 kg/m<sup>3</sup>,650 kg/m<sup>3</sup>,6.5 kg/m<sup>3</sup>,0.65 kg/m<sup>3</sup>,,B,,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),10,Substance which have density more than 1 gcm<sup>-3</sup> will,Sink,Float,Submerge,None,,A,,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),11,The C.G.S. unit of volume is,cm<sup>3</sup>,c.c.,cm<sup>2</sup>,m<sup>3</sup>,,"A,B",,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),12,The density of oxygen,0.000143 g/cm<sup>3</sup>,1.43 kg/m<sup>3</sup>,0.00143 g/cm<sup>3</sup>,1.043 kg/cm<sup>3</sup>,,"B,C",,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),13,Which of the following is the unit of length?,Metre,Centimetre,Foot ,Second,,"A,B,C",,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),14,Which of the following is the unit of area?,cm<sup>2</sup>,mm<sup>2</sup>,m<sup>2</sup>,m/s<sup>2</sup>,,"A,B,C",,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),15,Which of the following is the unit of mass?,Pound,Metere,Gram,Ton,,"A,C,D",,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),16,Which of the following is the unit of volume?,cubic metre,mm<sup>2</sup>,cm<sup>3</sup>,(foot)<sup>3</sup>,,"A,C,D",,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),22,The ratio between density of substance and density of water at _______ degree cesius is called relative density.,1,2,3,4,,D,,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),23,Radha sees her mother cleaning the room with broom.  She takes two broomsticks of different lengths and decides to measure the length of her room.  She finds that the length of the room is 18 times the length of the shorter stick.  The length of the shorter stick is half the length of the other stick.  How many longer sticks will be required to fit along the length of the room?,9,18,27,36,,A,,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),24,"Swati has three dolls.  She names them as Reena, Teena, and Meena.  She then takes a metre scale and measures their heights.  She observes that :
I.  Reena is taller than Teena by 5 cm.
II.  Meena is shorter than Reena by 4 cm.
If the height of Meena is 0.55 m, then Meera is taller than Teena by ______cm.",3,4,5,6,,C,,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),25,"Ramesh measures the length of a thread and finds it to be 14 hand-spans.  He uses it to measure the circumference of a rectangular table.  He wounds the thread around the circumference of the table.  If the thread is wound around the table two times, then the circumference of the table is _________ hand spans.",14,28,42,7,,D,,
1,Measurement,13. Relative Density,IIT JEE Worksheet (Single Correct Answer Type),26,The length of a blackboard is 240 cm. Rakesh tries to measure this length using a small wooden stick of length 40 cm.  The number of times that the stick must be revolved over the blackboard to completely cover the length is _________,6,12,18,24,,A,,
2,Motion,Chapter-2-Motion,Formative Worksheet,1,Which of the following is not making translatory motion?,A ball delivered by a spin bowler,A brill tha tbores a piece of wood,Movement of toy car around circular path,Moving rear wheel of a bicycle on it stand,,,,
2,Motion,Chapter-2-Motion,Formative Worksheet,2,The motion described by a football?,Curvilinear,Circular,Oscillatory,Non-uniform,,,,
2,Motion,Chapter-2-Motion,Formative Worksheet,3,Which of the following is a periodic motion?,Freely falling body,A swining pendulum,Bullet fired from the gun,A flying kite,,,,
2,Motion,Chapter-2-Motion,Formative Worksheet,4,Which of the following statement is not correct ?,Needle of sewing machine undergoes circular motion,Motion of body thrown upward at an angle is curvilinear,Movement of the earth around the sun is circular,Ball dropped from a height is rectilinear,,,,
2,Motion,Chapter-2-Motion,Formative Worksheet,5,How are day and nights caused?,Rotation of the earth,Gravitational force of earth,Mass of the earth,None,,,,
2,Motion,Chapter-2-Motion,Formative Worksheet,6,Which of the following is not an example of translatory motion?,A freely falling stone,A coin moving over carom board,A car or train moving along a curved road or track,A ceiling fan,,,,
2,Motion,Chapter-2-Motion,Formative Worksheet,7,From the following pick out the example for rotatory motion?,A spinning wheel,Merry-go-round,Blades of mixer grinder,All the above,,,,
2,Motion,Chapter-2-Motion,Formative Worksheet,8,Which of the area examples of circular motion?,Revolution of earth around the sun,Motion of the tip of the seconds hand of a wall clock,Both,None,,,,
2,Motion,Chapter-2-Motion,Formative Worksheet,9,Which of the following posses both rotatary and translatory motion?,,,,,,,,
2,Motion,Chapter-2-Motion,Formative Worksheet,10,The motion of a bob of a simple pendulum is,Rectilinear,Curvilinear,Periodic,Rotatory,,,,
2,Motion,Chapter-2-Motion,Conceptive Worksheet,1,________ type of motion do the strings of the violin describe,Vibratory Motion,,,,,,"Vibratory Motion. Because strings does not
move as a whole.
",FIB
2,Motion,Chapter-2-Motion,Conceptive Worksheet,2,Which type of motion is described by rolling ball ?,Linear and rotational,Linear,rotational,None of these,,A,"Linear and rotational. As ball rolling down it covers
some distance along with the rotation",MCQ
2,Motion,Chapter-2-Motion,Conceptive Worksheet,3,All oscillatory motions are periodic by nature. Explain.,,,,,,DUMMY,,
2,Motion,Chapter-2-Motion,Conceptive Worksheet,4,"Passengers sitting in a moving train are in ______ with respect to platform, but in _____ with respect to co-passengers in the train?","Motion, Rest","Rest,Motion","Motion,Motion","Rest,Rest",,A,,MCQ
2,Motion,Chapter-2-Motion,Conceptive Worksheet,5,A body undergoing circular motion may also have linear motion.  Explain.,,,,,,DUMMY,,
2,Motion,Chapter-2-Motion,Conceptive Worksheet,6,A book lying on the table is at ____________,Rest,,,,,,,FIB
2,Motion,Chapter-2-Motion,Conceptive Worksheet,7,A body is said to be in _____ if it changes its position with respect to surroundings with time,Motion,,,,,,,FIB
2,Motion,Chapter-2-Motion,Conceptive Worksheet,8,Can a body execute both rotatory and translatory motion simulatneously?,Yes,No,Rotatory only,translatory only,,A,,
2,Motion,Chapter-2-Motion,Conceptive Worksheet,9,Motion of pendulum of a clock is an example of ________ motion.,,,,,,Periodic,,FIB
2,Motion,Chapter-2-Motion,Conceptive Worksheet,10,The heartbeat of a normal resting person is ____________.,,,,,,Periodic Motion,,FIB
2,Motion,5. Distance and Displacement,Formative Worksheet,11,Raju travels the path HS to reach his school from home and SH to reach his home back from school.  He leaves to school every day at 9.00 AM and back to home by 3.30 PM.  Find the displacement and distance tranversed by him in this time.,"Distance covered = 10km, displacement = 1cm","Distance covered = 5km, displacement = 0","Distance covered = 4km, displacement = 0","Distance covered = 14km, displacement = 0",CH2-FW11,C,,
2,Motion,5. Distance & Displacement,Formative Worksheet,12,Find the distance and displacement if the body moves from A to B along the path AQB,"Distance covered = 11cm, displacement = 7cm","Distance covered = 21cm, displacement = 17cm","Distance covered = 10cm, displacement = 7cm","Distance covered = 11cm, displacement = 7m",CH2-FW12,A,,
2,Motion,5. Distance & Displacement,Formative Worksheet,13,Find the distance and displacement if the body moves from A to B along the path APQB,"Distance covered = 2m, displacement = 4m","Distance covered = 12m, displacement = 4m","Distance covered = 12m, displacement = 4cm","Distance covered = 12cm, displacement = 4m",CH2-FW13,B,,
2,Motion,5. Distance & Displacement,Formative Worksheet,14,Find the distance and displacement if the body moves from A to B along the path APQRSTUB,"Distance covered = 3cm, displacement = 14cm","Distance covered = 3m, displacement = 14m","Distance covered = 3mm, displacement = 14cm","Distance covered = 30m, displacement = 14m",CH2-FW14,D,,
2,Motion,5. Distance & Displacement,Formative Worksheet,15,Find the distance and displacement if the body moves from A to B along the path APQRB,"Distance covered = 20m, displacement = 10m","Distance covered = 2m, displacement = 1m","Distance covered = 20cm, displacement = 10mm","Distance covered = 22m, displacement = 12m",CH2-FW15,A,,
2,Motion,5. Distance & Displacement,Formative Worksheet,16,"A boy starts from his house and reach 5 km to reach the market.  After purchasing vegetables, he returns back to home travelling the same path. Find the distance and displacement of the boy.","Distance covered = 100km, displacement = 0","Distance covered = 10km, displacement = 0","Distance covered = 10cm, displacement = 0","Distance covered = 10cm, displacement = 10km",,B,,
2,Motion,5. Distance & Displacement,Formative Worksheet,17,A body moving on a circular path covers half of the path in one hour. What is the ratio of the distance covered by the body to its displacement.,"Distance covered = Pi*D/2, displacement = D","Distance covered = Pi*D, displacement = D","Distance covered = Pi*D/2, displacement = D/2","Distance covered = Pi/2, displacement = D",,A,,
2,Motion,5. Distance & Displacement,Formative Worksheet,18,"A body moves from P to S travelling along the path PQRS
Distance + Displacement = ?","Distance covered = 25m, displacement = 50m","Distance covered = 2.5m, displacement = 5m","Distance covered = 25m, displacement = 5m","Distance covered = 25cm, displacement = 5cm",CH2-FW18,C,,
2,Motion,5. Distance & Displacement,Formative Worksheet,19,"An ant starts from 'A' and reaches 'F'.  In doing so, it travels along path that is 'S' shaped.  If each side of the transveresed path is same, then.  Find the ratio of distance covered by the ant to its displacement.",Sqrt(5):1,Sqrt(15):10,Sqrt(5):5,Sqrt(10):2,CH2-FW19,A,,
2,Motion,5. Distance & Displacement,Formative Worksheet,20,"A rat starts from A and reaches B, running along the path ABCDED
AB = BC = CD = DE = EB = 5 m.
If distance covered by rat is x times its displacement.  Then find the value of x.","Distance covered = 250m, displacement = 5m","Distance covered = 2m, displacement = 5m","Distance covered = 25m, displacement = 50m","Distance covered = 25m, displacement = 5m",CH2-FW20,D,,
2,Motion,5. Distance & Displacement,Conceptive Worksheet,11,The total path covered by a body is called,Distance ,Displacement,Speed,Velocity,,A,,
2,Motion,5. Distance & Displacement,Conceptive Worksheet,12,The shortest distance travelled by a body is called its,Distance ,Displacement,Speed,Velocity,,B,,
2,Motion,5. Distance & Displacement,Conceptive Worksheet,13,The MKS unit of distance is,Foot,Metre,Second,Centimetre,,B,,
2,Motion,5. Distance & Displacement,Conceptive Worksheet,14,1 MKS unit of distance = __________ CGS unit of distance,1,16,100,1000,,C,,
2,Motion,5. Distance & Displacement,Conceptive Worksheet,15,The ratio distance to displacement is,Zero,Always = 1,Greater than (or) equal to 1,Greater than 1,,C,,
2,Motion,5. Distance & Displacement,Conceptive Worksheet,16,"If a body completes 1 round of a circular path of radius 7 cm, its displacement is",Zero,14 cm,22 cm,44 cm,,A,,
2,Motion,5. Distance & Displacement,Conceptive Worksheet,17,"If a body completes 1 round of a circular path of radius 7 cm, its displacement is",Zero,14 cm,22 cm,44 cm,,D,,
2,Motion,5. Distance & Displacement,Conceptive Worksheet,18,A body starts from A and reaches back A in 1 hour travelling along the path ABCDEFA.  Find the distance covered and displacement of the body respectively,"60m, 30m","60m, 15m","30 m, Zero","30m, 30m",CH2-CW18,C,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,21,The odometer of a car reads 36580 km when the clock shows 9:00 AM.  Fiat is the distance moved by the car if at 10:00 AM the odometer reading has Aanged to 36620 km?  Calculate the speed of the car in km/h during this time,,,,,,,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,22,Rajiv takes 10 minutes to reach the post office from his house on a I rickshaw.  If the speed of rickshaw is 3/sec/  Calculate the distance between his house and post office,,,,,,,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,23,"Julia is traveling in a car to school, which is situated at a distance of 40 km from her home.
If the car takes 30 minutes to reach to the school",40,80,100,120,,,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,24,"The distance versus time graph of a car is shown in the given figure.
It can be concluded from the given graph that the",car is moving at a uniform speed,speed of the car is increasing uniformly,car travels a distance of 25 m in each second,distance traveled by the car is inversely proportion to time,CH2-FW24,,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,25,"The distance between Paula's house and her school is 12 km.  The distance between her school and the public library is 6 km, whereas the distance between the public library and her house is 15 km. 
Paula reaches her school from hom in half an hour and then takes another 15 minutes to reach the public library.  She further takes 15 minutes to come back home from the public library.
What was Paula's average speed during the entire trip?",11 km/h,22 km/h,33 km/h,44 km/h,,,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,26,"If the moon revolves around Earth in a circle of radius 385,000 km is 29 days, then its average speed is approximately equal to _______",11.063π km/h,110.63π km/h,"1,106.3π km/h","11,063π km/h",,,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,27,"An ant is moving around a book, as shown in the given figure.  It travels aound the book once in every five minutes
What is the ant's average speed?",0.1 cm/s,0.2 cm/s,0.3 cm/s,0.4 cm/s,,,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,28,Which position versus time graph represents a stationary body?,,,,,,DUMMY,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,29,A boy is cycling at a constant speed.  His distance versus time graph will look like,,,,,,DUMMY,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,30,"The given graph shows the position versus time graph of a car 
What was the speed of the car during the entire trip?",25 km/h,50 km/h,100 km/h,125 km/h,CH2-FW30,,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,31,"The distance versus time graph of a ball moving with a constant speed is shown in the given graph.
What is the speed of the ball?",1.2 m/s,1.6 m/s,12.0 m/s,16.0 m/s,CH2-FW31,,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,32,"The given figure shows the distance versus time graph of a car
The speed of the car",decreases linearly with time,increases linearly with time,is constant,is Zero,CH2-FW32,,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,33,"Ethan and Jacob participate in a bicycle race.  One minute from the start of the race, Ethan and Jacob are at the same distance from the starting point.  After another minute, Jacob gets ahead of Ethan.
Which table correctly describes the relationship between the speeds of Ethan and Jacob during first two minutes of the race?",,,,,,DUMMY,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,34,Which of the following position versus time graphs represents as a body at rest?,,,,,,DUMMY,,
2,Motion,6. Distance and Time Graphs,Formative Worksheet,35,"An ant is moving over a ruler, as shown in the given figure.  The digital clocks show the time swhen the ant is at two different points on the ruler
The Speed of the ant is",1 cm/s,3 cm/s,6 cm/s,9 cm/s,CH2-FW35,,,
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,19,Which of the following relations is correct?,Speed = Distance x Time,Speed = Distance/Time,Speed = Time/Distance,Speed = 1/DistancexTime,,B,,
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,20,The ratio of CGS unit to SI unit of speed is ___________,1 : 10,100 : 1,1000 : 1,1 : 1000,,A,,
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,21,Speed is a ___________,Vector quantity,Scalar quantity,Fundamental quantity,None,,B,,
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,22,"If a body covers unequal distances in equal intervals of time, then the body is said to move under _________",Uniform speed,Non-uniform speed,Uniform Velocity,Non-uniform velocity,,B,,
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,23,A particle moves with a uniform speed,The particle must be at rest,The particle moves along a curved path,The particle moves along a circle,The particle moves along a straight line,,D,,
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,24,"If a particle covers equal distance in equal time intervals, it is said to be in",Uniform speed,Non Uniform Speed,Moving faster,Moving Slower,,A,,
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,25,A bus travels a certain distance with a speed 30 ms<sup>-1 and returns with a speed 200 ms<sup>-1?then find average speed during total journey?,25 m/sec,20 m/sec,24 m/sec,15 m/sec,,C,,
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,26,When body starts at 'A' and comes to 'A' again us shown by gi.  Then the displacement is (r is radius),2πr,2r,0,r/2,CH2-CW26,C,,
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,27,Speedometer of a car measures?,Average speed ,Uniform speed,Instantaneous speed,Distance travelled ,,C,,
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,28,"A body cover 20 m in 1<sup>st</sup> second, 25 m is 2<sup>nd</sup> second and 45 m in 3<sup>rd</sup> second.  What is the average speed of the body?",,,,,,30 m/s,"
",FIB
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,29,A car starts at point A with a speed of 40 kmph and reaches point B.  Then the car returns to the starting point A with a speed of 60 kmph.  What is average speed of the car?,,,,,,48 kmph,,FIB
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,30,"In the clock, the average speed is minimum for the tip of?",Seconds hand,Minutes Hand,Hours hand,All the above,,C,,
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,31,A crokroach covers a distance of 30 m in 1.5 minutes.  What is the speed of cockroach?,,,,,,0.33 ms<sup>-1</sup>,,FIB
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,32,A train moves at a speed of 120 km/h.  How long will it take to cover a distance of 15 km?,,,,,,7.5minutes,,FIB
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,33,1 kmph = _____________ m/s ?,,,,,,5/18 m/s,,FIB
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,34,A horse runs a distance of 1200m in 3 min and 20s.  What is the speed of horse?,,,,,,6 m/s,,FIB
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,35,"The following graph shows the distance travelled by Rajni from home to school and the time take. 
Study it and answer the following questions:
i) What distance did Rajni travel in first two minutes?
Ii) What distance did Rajni travel in the next two minutes?
iii) What distance did Rajni cover between 8 minutes and 10 minutes from the start?
What was the distance travelled between 12 minutes and 124 minutes?","(i) 100 m (ii) 80 m
(iii) 650 m
(iv) No, these distances are not equal
(v) 60 m.","(i) 10 m (ii) 80 m
(iii) 60 m
(iv) No, these distances are not equal
(v) 6 m.","(i) 100 m (ii) 8 m
(iii) 650 m
(iv) No, these distances are not equal
(v) 6 m.","(i) 10 m (ii) 80 m
(iii) 50 m
(iv) No, these distances are not equal
(v) 60 m.",CH2-CW35,A,,
2,Motion,6. Distance and Time Graphs,Conceptive Worksheet,36,"Show the shape of the distance time graph for the motion in the following cases:
i)  A car moving with a constant speed
ii)  A car parked on a side road",,,,,,DUMMY,,
2,Motion,6. Distance and Time Graphs,Summative Worksheet,1,Match the following,abcd/qpsr,abcd/qsrp,abcd/pqsr,abcd/qspr,CH2-SW1,A,,
2,Motion,6. Distance and Time Graphs,Summative Worksheet,2,"Two cars, A and B, are moving on the road with speeds 10 m/s and 36 kmph respectively.  If their starting point and ending point is same and if they are moving the same direction, then find the ratio of the times taken by them to reach the end point once they start at same time from their starting ponint",1 : 3.6,3.6 : 1,1 : 1,2 : 1,,C,"10m/s = 36 kmph
So, their speeds are same.
As the distance covered by them is same, they
take same time to reach the ending points
",
2,Motion,6. Distance and Time Graphs,Summative Worksheet,3,"The peregrine falcon (Falco peregrinus) is the fastest living creature, reaching speeds as much as 310 kmph when swooping from great heights during territorial displays or while catching pry birds in midair.  Express this speed in metre per second.", ,,,,,86.1 m/s,,FIB
2,Motion,6. Distance and Time Graphs,Summative Worksheet,4,"Sudha, Vijay, Shruthi and Rahit participated in a 100 m race.  The took 20s, 22s, 25s and 28s respectively to reach the finishing line.  Who do you think run the fastest and the slowest in the race.  Also express their speed in m/s.",,,,,,3.57 m / s,,FIB
2,Motion,6. Distance and Time Graphs,Summative Worksheet,5,"Cheetah is the fastest land animal and can achieve a peak velocity of 100 km/h upto distances less than 500 m.  If it spots its prey ata distance of 100 m, what is the minimum time it will take to get its prey, if the average velocity attained by it is 90 km/h?",,,,,,4 sec,,FIB
2,Motion,6. Distance and Time Graphs,Summative Worksheet,6,One of the following graphs represents the motion of snail.  Identify it.,,,,,x,DUMMY,,
2,Motion,6. Distance and Time Graphs,Summative Worksheet,7,"The graph given below represents the motion of four animals A, B,C and D along a straight line.  Identify the one that is moving fastest among the four",A,B,C,D,CH2-SW7,C,,
2,Motion,6. Distance and Time Graphs,Summative Worksheet,8,"A delivery by Brett Lee from Australia was bowled at 161.8 kmph at Brisbane on November 23, 2000.  It was considered as the fastest ball ever bowled by a bowler in One day International Match by then.  Now, imagine the following hypothetical situations.  A straight road from Brisbane (Australia) and Kingston Jamaica (West Indies) A car is moves on this road with a uniform speed equal to Brett Lee's ball mentioned above.  If the Also the distance between them is 14488.92 km, predict how many days approximately would it take by the car to reach Kingstone Jamaica.", 3.73 days,89.54 days,4 days,None of these,,A,,
2,Motion,6. Distance and Time Graphs,Summative Worksheet,9,"An object covers a distance of 'S' metres in 'T' seconds as follows :
Plot a graph, taking 't' on X-axis and 'S' on Y axis.",,,,,x,DUMMY,,
2,Motion,6. Distance and Time Graphs,Summative Worksheet,10,A car travels a certain distance with a speed of 50 km/h and returns with a speed of 40 km/h. Calculate the average speed for the whole journey.,55.54 kmph,50 kmph,44.45 kmph,45 kmph,,C,,
2,Motion,6. Distance and Time Graphs,Summative Worksheet,11,"The given figure shows the position of a body at different times.  Calculate
i) the speed of the body as it moves for 0 to 5 s",3/5 m/s,3 m/s,5 m/s,None of these,,A,,
2,Motion,6. Distance and Time Graphs,Summative Worksheet,12,"Plot a distance-time graph for the given data and calculate
(a) the corresponding physical quantity and,
(b)  the distance covered by the car at the end of 2.5 s and 6.5 s",,,,,x,DUMMY,,
2,Motion,6. Distance and Time Graphs,Summative Worksheet,13,The distance between two stations is 240 km.  A train takes 4 hours to cover this distance.  Calculate the speed  of the train.,60 km/hr.,6 km/hr..,600 km/hr..,240 km/hr.,,A,,
2,Motion,6. Distance and Time Graphs,Summative Worksheet,14,"The odometer of a car reads 57321.0 km when the clock shows the time 08:30 AM.  What is the distance moved by the car, if at 08:50 AM, the odometer reading has changed to 57336.0 km?  Calculate the speed of the car in km/min during this time.  Express the speed in km/h also.",5 km/hr.,45 km/hr.,50 km/hr.,4 km/hr.,,B,,
2,Motion,6. Distance and Time Graphs,Summative Worksheet,15,"Salma takes 15 minutes from her house to reach her school on a bicycle.  If the bicycle has a speed of 2 m/s, calculate the distance between her house and the school.", 1.8 km,1KM,18 KM,1KM,,A,,
2,Motion,6. Distance and Time Graphs,Summative Worksheet,16,A car moves with a speed of 40 km/h for 15 minutes and then with a speed of 60 km/h for the next 15 minutes.  The total distance covered by the car is :,10 km,25 km,15 km,10 km,,B,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,1,"Kurt is joggin along the outer edge of a park.  The dimensions of the park are shown in the given figure.  He takes one minute to complete one revolution around the park.
Kurt's speed is",1 m/s,5 m/s,50 m/s,100 m/s,CH2-HW1,B,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,2,"A toy car is moving away from a wall, as shown in the given figure.  As time increases, the distance of the car from the wall also increases, as depicted in the graph.
The hypothesis that can be derived from the given graph is",Distance of the car from the wall = Time,Distance of the car from the wall = 2 x Time,Distance of the car from the wall = Time / 2,Distance of the car from the wall = Time/3,CH2-HW2,A,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,3,"Julian is recording the time take by an ant to travel on the edges of a wooden structure, shown in the given figure.  He is amazed to observed that the ant takes exactly one second to travel the length of each edge.
The speed of the ant is the maximum on the edge opf length",6 cm,4 cm,3 cm,2 cm,CH2-HW3,A,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,4,"The reading of the odometer of a bus, which is about to start its journey, is 42124 km.  It reaches its distination after 5 h travelling at a uniform speed of 40 km/h
The odometer of the bus now reads",42194 km,42244 km,42324 km,42384 km,,C,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,5,"The odometer of a scooter reads 14316.0 km.  The person is moving with a uniform speed of 30 m/s and reaches his destination after 20 minutes.
What is the reading of the odometer when the rider reaches his destination?",14280.0 km,14316.0 km,14332.0 km,14352.0 km,,D,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,6,"In a race, Zheer and Abbas run with a speed such that the former takes thrice the time more than the latter to cover a distance
What is the ratio of the speeds of Abbas and Zaheer?",1 : 9,1 : 3,3 : 1,9 : 1,,C,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,7,"A cyclist is travelling with a uniform speed on a straight road.  After traveling 700 m, one of the tyres of the cycle got puncutured.  He decided to cover the rest of the distance (300 m) by walking with the cycle.  He covers the remaining 300 m in 7 minutes.
If the cyclist takes a total of 12 minutes to complete his journey, then what is his average speed during the journey?",23.81 m/min,61.28 m/min,83.33 m/min,97.48 m/min,,C,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,8,"Two cars M and N are standing 1 km away from each other.  Car M starts moving towards car N.  After 30 s, car N also starts its journey towards car M with the same speed.  Both cars meet at a point after 5 min
With what speed were both cards moving towards each other?",1.14 m/s,1.59 m/s,5.91 m/s,6.89 m/s,,B,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,9,Raj can run twice as fast as Lokesh. Raj runs for 10 min to cover the circumsference of a playground.  How much time will Lokesh take to cover the circumference of the playground?,5 min,10 min,20 min,40 min,,C,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,10,"A car moves from point M to point N with uniform speed in 3 min.  There, the car remains standing for 2 min.  Then, it comes back to point M with uniform speed in 2 minutes.",,,,,x,DUMMY,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,11,Which cyclist will take the maximum time to cover any given distance ?,M,N,P,R,x,DUMMY,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,12,"A train of length 570 m enters into the Pirpanjal tunnel at 8:25 am.  The length of the Pirpanjal tunnel is 11.43 km.  The speed of the train is 60 km/h.  When the train completely exists from the tunnel, the clock with read",08:37 AM,09:01 AM,09:37 AM,10:12 AM,,A,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,13,"Consider the following statements :
I.  Car I is parked near a post office
II.  Car II is moving along a staright road with uniform speed
Which of the following distance?  Time graphs represents the motion of the respective cars?",,,,,,DUMMY,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,14,"An airplane starts its journey from Delhi to Chennai at 08:50 am.  When it lands at Chennai airport, the clock time is 11:15 am.  The shortest distance hetween Delhi and Chennai is 2095 km.
What was the speed of the airplane during its journey?",14.48 m/s,28.96 m/s,240.80 m/s,481.60 m/s,,C,,
2,Motion,6. Distance and Time Graphs,Hots Worksheet,15,A car is moving with a speed of 53 km/h.  It can cover a distance of 318 km in,1/6 h,1/12 h,6 h,12 h,,C,,
2,Motion,6. Distance and Time Graphs,IIT JEE Worksheet (Single Correct Answer Type),1,Who will touch the finishing line just after the winner?,Ranvir Chauhan,Deepak Gupta,Apurva Gupta,Pavan Chauhan,x,DUMMY,,
2,Motion,6. Distance and Time Graphs,IIT JEE Worksheet (Single Correct Answer Type),2,"The position versus time graph of the motion of a boy along a straight path is shown in the given figure
The total time for which the boy remains in motion is ",16 s,10 s,9 s,4 s,CH2-JW2,B,,
